,price,startDate
0,2.125,2023-08-05T21:00:00.000Z
1,2.199,2023-08-05T20:00:00.000Z
2,2.236,2023-08-05T19:00:00.000Z
3,2.251,2023-08-05T18:00:00.000Z
4,2.316,2023-08-05T17:00:00.000Z
5,2.288,2023-08-05T16:00:00.000Z
6,2.226,2023-08-05T15:00:00.000Z
7,2.127,2023-08-05T14:00:00.000Z
8,2.087,2023-08-05T13:00:00.000Z
9,2.047,2023-08-05T12:00:00.000Z
10,2.035,2023-08-05T11:00:00.000Z
11,2.051,2023-08-05T10:00:00.000Z
12,2.103,2023-08-05T09:00:00.000Z
13,2.138,2023-08-05T08:00:00.000Z
14,2.099,2023-08-05T07:00:00.000Z
15,2.0,2023-08-05T06:00:00.000Z
16,1.877,2023-08-05T05:00:00.000Z
17,1.586,2023-08-05T04:00:00.000Z
18,0.929,2023-08-05T03:00:00.000Z
19,0.611,2023-08-05T02:00:00.000Z
20,0.601,2023-08-05T01:00:00.000Z
21,0.606,2023-08-05T00:00:00.000Z
22,0.854,2023-08-04T23:00:00.000Z
23,1.135,2023-08-04T22:00:00.000Z
24,2.11,2023-08-04T21:00:00.000Z
25,2.244,2023-08-04T20:00:00.000Z
26,2.594,2023-08-04T19:00:00.000Z
27,2.887,2023-08-04T18:00:00.000Z
28,3.042,2023-08-04T17:00:00.000Z
29,3.08,2023-08-04T16:00:00.000Z
30,2.914,2023-08-04T15:00:00.000Z
31,2.513,2023-08-04T14:00:00.000Z
32,2.502,2023-08-04T13:00:00.000Z
33,2.546,2023-08-04T12:00:00.000Z
34,2.74,2023-08-04T11:00:00.000Z
35,3.019,2023-08-04T10:00:00.000Z
36,3.074,2023-08-04T09:00:00.000Z
37,3.125,2023-08-04T08:00:00.000Z
38,3.075,2023-08-04T07:00:00.000Z
39,2.919,2023-08-04T06:00:00.000Z
40,2.595,2023-08-04T05:00:00.000Z
41,2.189,2023-08-04T04:00:00.000Z
42,1.946,2023-08-04T03:00:00.000Z
43,1.86,2023-08-04T02:00:00.000Z
44,1.996,2023-08-04T01:00:00.000Z
45,2.133,2023-08-04T00:00:00.000Z
46,2.156,2023-08-03T23:00:00.000Z
47,2.189,2023-08-03T22:00:00.000Z
